;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
680;Nao_branca;Medio;Zero;E
681;Nao_branca;Medio;Zero;E
682;Branca;FundamentalCompleto;Zero;E
683;Branca;FundamentalCompleto;Zero;E
684;Nao_branca;FundamentalCompleto;Zero;E
685;Branca;Superior;Dois;E
686;Branca;Medio;Um;E
689;Nao_branca;Medio;Zero;E
692;Nao_branca;Superior;Um;E
693;Nao_branca;Medio;Um;E
694;Nao_branca;FundamentalIncompleto;Zero;E
696;Nao_branca;FundamentalIncompleto;Zero;E
697;Nao_branca;Superior;Zero;E
699;Nao_branca;Medio;Zero;E
700;Nao_branca;Medio;Um;E
702;Nao_branca;FundamentalIncompleto;Zero;E
703;Nao_branca;FundamentalCompleto;Zero;E
705;Nao_branca;Superior;Um;E
706;Nao_branca;FundamentalCompleto;Zero;E
707;Branca;FundamentalIncompleto;Zero;E
709;Nao_branca;FundamentalIncompleto;Zero;E
710;Nao declarado;FundamentalCompleto;Zero;E
711;Branca;Medio;Um;E
712;Nao_branca;Medio;Um;E
713;Nao_branca;FundamentalCompleto;Zero;E
714;Nao declarado;FundamentalCompleto;Zero;E
715;Nao_branca;Superior;Um;E
716;Nao_branca;Superior;Um;E
717;Branca;FundamentalIncompleto;Zero;E
719;Nao_branca;FundamentalIncompleto;Zero;E
723;Nao_branca;FundamentalIncompleto;Zero;E
724;Branca;Superior;Zero;E
725;Nao_branca;FundamentalCompleto;Zero;E
726;Nao_branca;FundamentalIncompleto;Um;E
727;Nao_branca;FundamentalIncompleto;Zero;E
729;Nao_branca;FundamentalIncompleto;Zero;E
731;Nao_branca;FundamentalCompleto;Zero;E
732;Nao declarado;FundamentalIncompleto;Zero;E
733;Nao_branca;FundamentalIncompleto;Zero;E
734;Nao_branca;Medio;Zero;E
735;Nao_branca;FundamentalCompleto;Zero;E
737;Branca;FundamentalIncompleto;Um;E
738;Branca;FundamentalCompleto;Zero;E
739;Nao_branca;FundamentalIncompleto;Zero;E
740;Nao_branca;FundamentalCompleto;Zero;E
743;Nao_branca;FundamentalIncompleto;Zero;E
744;Nao_branca;FundamentalIncompleto;Zero;E
745;Nao_branca;FundamentalIncompleto;Um;E
747;Branca;FundamentalIncompleto;Zero;E
748;Nao_branca;FundamentalIncompleto;Zero;E
749;Nao_branca;FundamentalIncompleto;Zero;E
750;Nao_branca;Medio;Um;E
753;Branca;FundamentalIncompleto;Um;E
755;Nao_branca;FundamentalIncompleto;Zero;E
756;Branca;FundamentalCompleto;Um;E
758;Nao_branca;Superior;Zero;E
759;Branca;FundamentalIncompleto;Um;E
760;Nao_branca;Medio;Zero;E
761;Nao_branca;Medio;Zero;E
763;Nao_branca;FundamentalCompleto;Zero;E
764;Nao_branca;Superior;Um;D
765;Nao_branca;FundamentalIncompleto;Zero;D
767;Nao_branca;Medio;Um;E
768;Nao_branca;FundamentalCompleto;Zero;E
770;Nao_branca;FundamentalIncompleto;Zero;E
772;Nao_branca;FundamentalCompleto;Zero;E
773;Nao_branca;FundamentalCompleto;Um;E
775;Branca;Medio;Zero;E
776;Nao_branca;FundamentalIncompleto;Zero;E
777;Nao_branca;FundamentalIncompleto;Zero;E
781;Nao_branca;Superior;Zero;E
783;Nao_branca;FundamentalIncompleto;Zero;E
784;Branca;Medio;Zero;E
785;Nao_branca;FundamentalIncompleto;Zero;E
786;Branca;Medio;Um;D
787;Nao_branca;FundamentalIncompleto;Zero;E
788;Nao_branca;FundamentalCompleto;Um;E
789;Branca;FundamentalCompleto;Zero;E
790;Nao_branca;Medio;Um;E
792;Branca;FundamentalIncompleto;Zero;E
793;Branca;FundamentalCompleto;Um;E
794;Nao_branca;FundamentalIncompleto;Zero;E
795;Nao_branca;Medio;Um;E
797;Nao declarado;Superior;Zero;E
798;Nao_branca;FundamentalIncompleto;Zero;E
799;Nao_branca;Medio;Zero;E
800;Nao_branca;Superior;Dois;C
801;Nao_branca;Medio;Um;E
802;Branca;Medio;Zero;E
807;Nao_branca;FundamentalIncompleto;Zero;E
808;Nao_branca;FundamentalCompleto;Zero;E
809;Branca;Superior;Um;E
810;Nao_branca;FundamentalIncompleto;Zero;E
811;Branca;FundamentalCompleto;Um;E
813;Nao_branca;Medio;Zero;E
814;Branca;FundamentalIncompleto;Zero;E
815;Nao_branca;Medio;Dois;D
816;Nao_branca;Medio;Zero;E
818;Nao_branca;FundamentalIncompleto;Zero;E
819;Branca;FundamentalIncompleto;Zero;E
820;Nao declarado;FundamentalIncompleto;Zero;E
821;Nao_branca;FundamentalCompleto;Zero;E
822;Nao_branca;Superior;Um;D
823;Nao_branca;FundamentalIncompleto;Zero;E
825;Nao_branca;FundamentalCompleto;Zero;E
826;Nao declarado;FundamentalIncompleto;Zero;E
828;Nao_branca;FundamentalIncompleto;Um;E
831;Nao_branca;Superior;Zero;E
832;Nao_branca;FundamentalCompleto;Zero;E
833;Nao_branca;Medio;Zero;E
835;Nao_branca;FundamentalIncompleto;Zero;E
836;Nao_branca;Superior;Zero;E
837;Branca;FundamentalIncompleto;Zero;E
838;Branca;FundamentalCompleto;Zero;E
839;Nao_branca;FundamentalCompleto;Um;E
840;Branca;Medio;Zero;E
842;Branca;FundamentalCompleto;Um;E
844;Nao_branca;Superior;Um;E
845;Nao_branca;Medio;Zero;E
846;Nao_branca;FundamentalIncompleto;Zero;E
847;Nao_branca;Medio;Um;E
848;Nao_branca;Medio;Zero;E
849;Nao_branca;FundamentalCompleto;Um;D
850;Nao_branca;FundamentalCompleto;Zero;E
851;Branca;FundamentalCompleto;Zero;D
852;Nao_branca;FundamentalCompleto;Zero;E
854;Branca;Medio;Zero;E
856;Nao_branca;Superior;Zero;E
857;Branca;Medio;Zero;E
858;Nao_branca;FundamentalIncompleto;Zero;E
860;Nao_branca;FundamentalIncompleto;Zero;E
861;Nao_branca;Superior;Zero;D
862;Branca;FundamentalCompleto;Zero;E
863;Branca;Medio;Zero;E
864;Nao_branca;FundamentalIncompleto;Um;E
865;Branca;FundamentalCompleto;Um;E
866;Branca;Medio;Um;E
