;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
760;Branca;Medio;0;E
761;Branca;Medio;1;D
763;Branca;Medio;0;E
768;Nao_branca;Fundamental;1;E
774;Branca;Medio;0;E
776;Nao_branca;Fundamental;1;E
777;Branca;Medio;0;E
778;Nao_branca;Medio;0;C
781;Nao_branca;Medio;2;D
782;Nao_branca;Fundamental;0;E
784;Branca;Superior;1;D
785;Branca;Medio;1;E
788;Nao_branca;Fundamental;0;E
789;Nao_branca;Medio;1;E
790;Branca;Superior;1;D
792;Branca;Medio;1;E
793;Branca;Fundamental;1;E
795;Branca;Medio;1;D
796;Nao_branca;Medio;1;D
798;Branca;Superior;2;D
801;Nao_branca;Medio;1;D
803;Nao_branca;Fundamental;0;D
806;Nao_branca;Medio;1;E
807;Nao_branca;Superior;1;D
811;Branca;Medio;0;E
814;Nao_branca;Superior;1;D
815;Branca;Medio;0;E
821;Branca;Superior;1;C
823;Branca;Medio;1;E
826;Branca;Superior;1;B
829;Branca;Medio;1;D
833;Nao_branca;Superior;1;D
839;Nao_branca;Fundamental;0;E
841;Branca;Fundamental;0;E
846;Nao_branca;Medio;1;E
847;Branca;Superior;1;C
849;Branca;Superior;2;E
850;Branca;Medio;1;D
851;Nao_branca;Superior;1;D
852;Branca;Fundamental;2;B
854;Branca;Fundamental;1;E
857;Branca;Superior;1;D
858;Nao_branca;Medio;0;D
859;Branca;Medio;0;E
860;Branca;Superior;1;C
861;Nao_branca;Medio;0;E
867;Nao_branca;Superior;1;E
871;Branca;Superior;1;D
875;Branca;Superior;1;C
877;Nao_branca;Fundamental;1;E
878;Branca;Fundamental;0;E
883;Nao_branca;Fundamental;1;E
885;Nao_branca;Fundamental;1;E
886;Nao_branca;Fundamental;0;E
888;Branca;Fundamental;1;E
890;Nao_branca;Fundamental;0;E
891;Branca;Medio;0;E
893;Branca;Medio;2;C
894;Branca;Superior;1;C
895;Nao_branca;Medio;1;E
896;Nao_branca;Medio;1;E
897;Nao_branca;Fundamental;0;E
898;Branca;Superior;4;C
899;Branca;Medio;1;E
901;Branca;Fundamental;0;E
902;Branca;Superior;1;D
903;Nao_branca;Medio;1;E
905;Nao_branca;Medio;1;E
906;Nao_branca;Medio;0;E
909;Nao_branca;Fundamental;0;E
910;Nao_branca;Medio;1;E
911;Branca;Superior;1;C
913;Nao_branca;Superior;2;E
914;Nao_branca;Superior;1;E
915;Branca;Medio;1;E
918;Nao_branca;Medio;0;E
920;Branca;Fundamental;1;E
923;Nao_branca;Superior;0;E
924;Nao declarado;Fundamental;1;D
925;Branca;Superior;1;D
926;Nao_branca;Superior;1;C
928;Nao_branca;Fundamental;0;E
929;Nao_branca;Medio;0;E
930;Nao_branca;Medio;1;C
933;Branca;Medio;0;E
934;Branca;Superior;1;D
936;Branca;Fundamental;0;E
937;Nao_branca;Fundamental;1;E
942;Nao_branca;Fundamental;1;D
945;Nao_branca;Medio;1;E
946;Nao_branca;Superior;2;D
947;Nao_branca;Medio;1;E
950;Branca;Fundamental;1;E
951;Branca;Medio;2;C
955;Branca;Medio;0;E
958;Branca;Fundamental;1;E
960;Nao_branca;Superior;0;E
962;Nao_branca;Superior;1;C
963;Branca;Fundamental;1;E
967;Nao_branca;Medio;0;C
968;Nao_branca;Medio;0;D
971;Nao_branca;Medio;1;E
972;Branca;Fundamental;0;E
974;Branca;Superior;2;D
975;Nao_branca;Medio;1;D
978;Branca;Medio;0;E
980;Branca;Superior;1;D
983;Branca;Medio;1;D
987;Nao_branca;Medio;1;E
989;Nao_branca;Fundamental;1;E
993;Nao_branca;Medio;1;E
995;Nao_branca;Superior;2;D
996;Branca;Superior;1;C
997;Nao_branca;Superior;0;E
1005;Nao_branca;Medio;0;D
1006;Branca;Superior;2;E
1008;Nao declarado;Superior;0;E
1010;Branca;Fundamental;1;E
1013;Nao_branca;Superior;1;E
1019;Branca;Fundamental;1;D
1021;Branca;Medio;1;E
1027;Branca;Fundamental;0;E
1029;Nao_branca;Medio;1;E
1033;Nao_branca;Superior;1;E
1035;Branca;Fundamental;2;E
1036;Nao_branca;Medio;1;D
1038;Nao_branca;Medio;0;D
1044;Nao_branca;Medio;2;C
1045;Nao_branca;Fundamental;0;E
1047;Branca;Fundamental;1;E
1053;Nao_branca;Fundamental;0;E
1055;Nao_branca;Fundamental;0;E
1056;Nao_branca;Medio;1;D
1057;Nao_branca;Superior;1;D
1058;Nao_branca;Fundamental;0;E
1059;Branca;Fundamental;1;E
1060;Branca;Medio;1;D
1063;Nao_branca;Medio;1;D
1065;Nao_branca;Medio;1;D
1067;Branca;Superior;1;D
1068;Nao_branca;Fundamental;0;E
1070;Branca;Fundamental;1;E
1071;Branca;Fundamental;1;E
1076;Branca;Medio;2;C
1077;Branca;Superior;1;C
1078;Branca;Fundamental;1;E
1079;Nao_branca;NuncaEstudou;0;E
1081;Nao_branca;Superior;1;D
1082;Nao_branca;Fundamental;0;E
1086;Nao_branca;Fundamental;1;D
1088;Nao_branca;Medio;0;E
1089;Branca;Medio;1;E
1090;Nao_branca;Medio;1;D
1091;Branca;Superior;1;C
1092;Nao_branca;Medio;0;E
1095;Nao_branca;Fundamental;0;E
1101;Nao_branca;Medio;0;E
1107;Nao_branca;Medio;0;E
1108;Nao_branca;Medio;1;E
1109;Nao_branca;Medio;1;D
1110;Branca;Medio;2;C
1111;Branca;Medio;1;E
1113;Nao_branca;Medio;1;E
1118;Nao_branca;Fundamental;0;E
1120;Branca;Medio;0;E
1125;Branca;Fundamental;1;E
1127;Branca;Fundamental;0;D
1136;Branca;Fundamental;1;D
1143;Nao_branca;Fundamental;0;E
1144;Nao_branca;Superior;1;D
1146;Nao_branca;Fundamental;1;E
1147;Nao_branca;Medio;0;E
1148;Branca;Superior;1;D
1156;Nao_branca;Superior;1;C
1157;Nao_branca;Medio;1;E
1158;Branca;Medio;1;D
1160;Nao_branca;Fundamental;0;E
1163;Branca;Fundamental;0;E
1165;Branca;Superior;1;D
1166;Nao_branca;Superior;0;E
1167;Nao_branca;Fundamental;0;E
1168;Branca;Superior;0;E
1172;Nao_branca;Fundamental;0;E
1175;Nao_branca;Superior;1;D
1176;Branca;Medio;1;E
1178;Nao_branca;Superior;0;E
1179;Branca;Medio;2;D
1180;Nao_branca;Fundamental;0;D
1182;Branca;Fundamental;1;E
1183;Branca;Medio;1;C
1184;Branca;Medio;2;D
1188;Branca;Medio;0;E
1195;Nao_branca;Fundamental;1;E
1200;Nao_branca;Fundamental;1;D
1202;Branca;Medio;1;D
1203;Nao_branca;Medio;1;E
1207;Nao_branca;Medio;0;E
1208;Nao_branca;Fundamental;1;C
1209;Branca;Fundamental;1;E
1213;Nao_branca;Fundamental;0;E
1215;Branca;Superior;1;D
1216;Nao_branca;Medio;2;D
1217;Branca;Superior;1;E
1221;Nao_branca;Fundamental;2;C
1222;Nao_branca;Medio;0;E
1223;Branca;Medio;1;E
1227;Nao_branca;Medio;1;E
1228;Nao_branca;Fundamental;0;E
1229;Nao_branca;Fundamental;1;D
1231;Branca;Superior;2;D
1233;Nao_branca;Superior;2;C
1235;Nao_branca;Fundamental;0;E
1239;Branca;Medio;0;E
1240;Branca;Fundamental;2;C
1242;Nao_branca;Superior;1;E
1244;Branca;Fundamental;1;D
1245;Nao_branca;Fundamental;0;E
1248;Branca;Medio;1;D
1253;Branca;Superior;1;D
1256;Branca;Medio;0;D
1260;Nao_branca;Superior;0;D
1261;Nao declarado;Medio;1;E
1264;Branca;Superior;2;C
1266;Nao_branca;Fundamental;2;C
1269;Branca;Superior;0;D
1270;Nao declarado;Superior;0;E
1271;Nao_branca;Medio;0;E
1272;Branca;Fundamental;1;E
1273;Branca;Medio;0;E
1277;Nao_branca;Medio;0;D
1279;Nao_branca;Medio;2;D
1280;Branca;Superior;0;D
1281;Branca;Superior;0;D
1284;Branca;Superior;1;E
1286;Branca;Fundamental;0;E
1287;Branca;Fundamental;1;E
1288;Nao_branca;Fundamental;1;E
1290;Nao_branca;Superior;0;E
1294;Branca;Superior;1;C
1297;Nao_branca;Fundamental;1;D
1301;Nao_branca;Medio;1;E
1303;Branca;Fundamental;1;E
1308;Nao_branca;Medio;1;D
1310;Branca;Medio;1;E
1311;Branca;Medio;2;D
1317;Nao_branca;Superior;1;E
1318;Nao_branca;Medio;0;E
1320;Nao_branca;Fundamental;0;E
1321;Branca;Medio;1;C
1324;Nao_branca;Superior;1;E
1327;Branca;Superior;1;E
1328;Nao_branca;Fundamental;1;E
1330;Branca;Fundamental;1;E
1331;Branca;Medio;1;D
1335;Nao_branca;Fundamental;0;E
1338;Branca;Superior;1;D
1341;Branca;Fundamental;1;D
1342;Branca;Medio;1;E
1343;Branca;Medio;1;E
1346;Nao_branca;Medio;1;E
1348;Nao_branca;Medio;0;E
1349;Nao_branca;Medio;2;A
1350;Branca;Superior;1;D
1351;Nao_branca;Superior;0;C
1354;Nao_branca;Superior;1;C
1357;Branca;Superior;3;D
1361;Nao_branca;Medio;0;E
1369;Nao_branca;Medio;1;E
1371;Nao_branca;Medio;1;E
1373;Nao_branca;Fundamental;1;C
1374;Branca;Fundamental;0;E
1377;Nao_branca;Medio;1;D
1381;Nao_branca;Fundamental;1;D
1384;Branca;Medio;0;E
1389;Branca;Medio;1;E
1391;Branca;Superior;3;D
1397;Branca;Medio;1;E
1400;Nao_branca;Medio;1;E
1401;Nao_branca;Medio;2;D
1402;Nao_branca;Fundamental;0;E
1403;Branca;Fundamental;0;E
1404;Nao_branca;Medio;1;D
1408;Nao declarado;Medio;2;D
1411;Branca;Fundamental;1;E
1412;Branca;Superior;1;D
1415;Branca;Superior;2;C
1419;Nao_branca;Fundamental;1;E
1420;Branca;Superior;1;D
1421;Nao_branca;Superior;2;C
1424;Nao_branca;Medio;1;E
1427;Nao_branca;Medio;1;C
1429;Branca;Fundamental;1;D
1431;Branca;Superior;0;D
1433;Nao_branca;Medio;1;D
1434;Nao_branca;Medio;1;E
1436;Nao_branca;Medio;1;E
1438;Nao_branca;Fundamental;1;E
1444;Branca;Medio;1;D
1446;Nao_branca;Medio;0;E
1448;Branca;Medio;1;E
1450;Branca;Medio;0;E
1452;Nao_branca;Superior;1;E
1453;Branca;Medio;1;D
1454;Nao_branca;Fundamental;0;D
1455;Branca;Superior;1;D
1456;Branca;Medio;1;D
1461;Nao_branca;Medio;0;E
1465;Branca;Fundamental;1;E
1466;Branca;Superior;1;B
1467;Branca;Medio;1;E
1471;Branca;Superior;3;B
1472;Branca;Fundamental;1;E
1473;Nao_branca;Superior;0;E
1477;Branca;Fundamental;0;D
