;Cluster_menor;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
682;C3;Nao_branca;Fundamental;2;E1
683;C3;Nao_branca;Fundamental;0;C1
684;C2;Nao_branca;Superior;1;D1
685;C1;Branca;Fundamental;1;D1
689;C3;Branca;Fundamental;0;E1
691;C1;Branca;Medio;1;C1
692;C3;Nao_branca;Fundamental;1;E1
693;C3;Branca;Fundamental;0;E1
694;C3;Nao_branca;Fundamental;0;C1
695;C2;Nao declarado;Superior;2;D1
697;C1;Branca;Fundamental;1;D1
701;C2;Nao_branca;Superior;1;D1
702;C3;Nao_branca;Fundamental;0;E1
703;C2;Branca;Superior;1;D1
704;C3;Nao_branca;Fundamental;0;E1
705;C3;Branca;Fundamental;0;E1
707;C1;Branca;Superior;1;C1
708;C3;Nao_branca;Fundamental;0;E1
709;C2;Nao_branca;Medio;0;D1
710;C3;Nao_branca;Fundamental;1;E1
711;C3;Nao_branca;Fundamental;0;E1
713;C3;Nao_branca;Fundamental;0;E1
714;C3;Branca;Fundamental;0;E1
715;C3;Nao_branca;Fundamental;2;E1
716;C3;Nao_branca;Fundamental;0;E1
717;C1;Nao_branca;Medio;1;E1
718;C1;Nao declarado;Medio;0;E1
720;C1;Branca;Fundamental;1;D1
721;C1;Nao_branca;Medio;2;E1
722;C1;Nao_branca;Medio;1;E1
723;C2;Nao_branca;Superior;1;C1
724;C1;Nao_branca;Medio;1;E1
725;C1;Branca;NuncaEstudou;0;E1
728;C2;Nao_branca;Fundamental;1;D1
729;C1;Branca;Medio;1;E1
730;C1;Branca;Medio;1;E1
731;C1;Branca;Fundamental;1;D1
732;C1;Branca;Superior;1;E1
733;C1;Nao_branca;Medio;1;E1
734;C1;Branca;Medio;1;D1
736;C1;Branca;Medio;1;D1
738;C3;Nao_branca;Fundamental;1;E1
739;C1;Branca;Superior;1;C1
740;C3;Nao_branca;Fundamental;0;E1
742;C1;Nao_branca;Medio;1;C1
743;C2;Nao_branca;Fundamental;1;D1
744;C1;Branca;Medio;1;E1
746;C3;Nao_branca;Fundamental;1;E1
747;C3;Nao_branca;Medio;0;E1
748;C3;Nao_branca;Fundamental;1;E1
749;C2;Nao_branca;Medio;1;D1
750;C1;Branca;Superior;2;C1
751;C3;Nao_branca;Medio;0;E1
755;C1;Branca;Medio;1;D1
756;C1;Branca;Medio;1;E1
757;C2;Nao_branca;Superior;1;D1
758;C2;Nao_branca;Superior;1;C1
759;C2;Nao_branca;Medio;1;D1
760;C1;Branca;Fundamental;1;E1
762;C3;Nao_branca;Fundamental;0;E1
763;C2;Nao_branca;Superior;1;E1
764;C2;Nao_branca;Fundamental;1;D1
