;Cluster_menor;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
744;E;Branca;Medio;1;E
746;A;Nao_branca;Fundamental;1;E
747;D;Nao_branca;Medio;0;E
748;B;Nao_branca;Fundamental;1;E
749;B;Nao_branca;Medio;1;D
750;F;Branca;Superior;2;C
751;D;Nao_branca;Medio;0;E
755;E;Branca;Medio;1;D
756;E;Branca;Medio;1;E
757;F;Nao_branca;Superior;1;D
758;B;Nao_branca;Superior;1;C
759;B;Nao_branca;Medio;1;D
760;C;Branca;Fundamental;1;E
762;A;Nao_branca;Fundamental;0;E
763;B;Nao_branca;Superior;1;E
764;A;Nao_branca;Fundamental;1;D
765;A;Nao_branca;Fundamental;0;E
766;C;Branca;Fundamental;1;E
767;B;Nao_branca;Fundamental;1;E
768;A;Nao_branca;Fundamental;1;E
769;B;Nao_branca;Medio;1;C
770;F;Branca;Superior;0;D
773;D;Nao_branca;Medio;0;E
775;C;Branca;Fundamental;0;E
776;E;Branca;Medio;1;E
777;F;Branca;Superior;2;C
778;F;Nao_branca;Superior;1;D
779;E;Branca;Medio;1;D
782;E;Branca;Superior;1;E
784;F;Branca;Superior;1;D
785;A;Nao_branca;Fundamental;0;E
786;A;Nao_branca;Fundamental;1;E
787;A;Nao_branca;Fundamental;0;E
788;C;Branca;Medio;0;E
790;A;Nao_branca;Fundamental;0;D
791;D;Nao_branca;Medio;0;D
793;E;Branca;Medio;2;D
794;E;Branca;Medio;1;E
796;A;Nao_branca;Fundamental;0;D
797;F;Nao_branca;Superior;1;D
798;C;Branca;Medio;0;E
800;C;Branca;Medio;0;D
801;A;Nao_branca;Fundamental;1;E
802;C;Branca;Fundamental;0;E
804;C;Branca;Fundamental;0;E
805;B;Nao_branca;Medio;1;E
806;A;Nao_branca;Superior;0;E
808;A;Nao_branca;Fundamental;0;E
809;B;Nao_branca;Medio;1;D
811;C;Branca;Fundamental;0;E
814;B;Nao declarado;Superior;1;E
815;E;Branca;Fundamental;1;C
816;A;Nao_branca;NuncaEstudou;0;E
817;C;Branca;Medio;0;E
819;E;Branca;Medio;1;E
820;C;Branca;Fundamental;1;C
821;E;Branca;Medio;4;E
822;F;Nao_branca;Superior;1;D
823;F;Nao_branca;Superior;1;D
824;B;Nao_branca;Medio;1;E
825;A;Nao_branca;Fundamental;0;E
828;A;Nao_branca;Fundamental;1;E
829;F;Branca;Fundamental;2;D
830;E;Branca;Medio;1;E
831;E;Branca;Medio;1;D
832;B;Nao_branca;Medio;1;E
833;B;Nao_branca;Medio;1;E
834;A;Nao_branca;Fundamental;1;E
835;E;Branca;Fundamental;1;E
836;B;Nao_branca;Superior;1;E
838;A;Nao_branca;Fundamental;1;E
839;D;Nao_branca;Medio;0;E
841;C;Branca;Medio;0;E
842;C;Branca;Medio;0;D
843;C;Branca;Fundamental;1;E
844;E;Branca;Medio;1;E
845;E;Branca;Medio;3;E
848;F;Nao_branca;Superior;1;D
849;F;Branca;Superior;1;D
850;B;Nao declarado;Superior;1;E
851;F;Nao_branca;Superior;1;D
853;A;Nao_branca;Fundamental;1;E
854;A;Nao_branca;Fundamental;0;E
855;B;Nao_branca;Superior;1;E
857;E;Branca;Medio;1;E
858;E;Branca;Medio;1;D
859;D;Nao_branca;Medio;0;D
860;B;Nao_branca;Medio;1;D
861;A;Nao_branca;Fundamental;0;E
862;F;Branca;Superior;2;C
863;D;Nao_branca;Medio;0;E
864;E;Branca;Medio;3;E
867;A;Nao_branca;Fundamental;0;E
868;E;Branca;Medio;1;C
869;B;Nao_branca;Medio;1;D
870;F;Branca;Superior;1;C
874;F;Branca;Superior;1;C
877;B;Nao_branca;Medio;1;E
878;D;Nao_branca;Medio;0;E
879;F;Nao_branca;Superior;3;D
880;C;Branca;Fundamental;1;E
881;F;Nao_branca;Superior;1;D
882;F;Nao_branca;Fundamental;1;D
884;E;Branca;Medio;1;E
885;C;Branca;Fundamental;1;E
886;A;Nao_branca;Fundamental;0;E
887;A;Nao_branca;Fundamental;0;D
888;B;Nao_branca;Superior;1;E
889;C;Branca;Fundamental;0;E
890;B;Nao_branca;Medio;1;D
891;C;Branca;NuncaEstudou;0;D
893;A;Nao_branca;Fundamental;0;E
895;A;Nao_branca;Fundamental;1;D
897;C;Branca;Fundamental;0;E
898;A;Nao_branca;Fundamental;3;E
899;A;Nao_branca;Fundamental;1;D
900;D;Nao_branca;Medio;0;D
901;B;Nao_branca;Medio;1;E
902;C;Branca;Fundamental;0;E
903;D;Nao_branca;Medio;0;D
906;C;Branca;Medio;0;C
907;F;Branca;Fundamental;2;D
908;F;Branca;Superior;3;C
910;E;Branca;Medio;1;E
911;F;Branca;Superior;1;D
912;A;Nao_branca;Fundamental;0;E
913;E;Branca;Medio;1;E
914;B;Nao_branca;Medio;1;E
915;C;Branca;Fundamental;1;E
916;F;Nao_branca;Superior;1;D
917;B;Nao_branca;Superior;1;C
918;C;Branca;Fundamental;0;E
919;D;Nao_branca;Medio;0;E
920;C;Branca;Fundamental;1;E
922;C;Branca;Medio;0;E
923;B;Nao_branca;Medio;1;E
924;B;Nao_branca;Medio;1;D
926;E;Branca;Medio;1;E
927;B;Nao_branca;Fundamental;1;D
928;B;Nao_branca;Medio;1;D
930;F;Branca;Fundamental;1;D
931;E;Branca;Medio;1;D
932;E;Branca;Superior;1;E
933;A;Nao_branca;Superior;2;E
934;F;Nao_branca;Fundamental;1;D
936;B;Nao_branca;Superior;1;C
937;B;Nao_branca;Fundamental;1;E
938;F;Nao_branca;Superior;0;D
940;C;Branca;Superior;0;E
941;A;Nao_branca;Fundamental;1;D
942;C;Branca;Medio;0;D
943;B;Nao_branca;Medio;1;D
944;E;Branca;Medio;1;D
945;A;Nao_branca;Fundamental;0;E
946;A;Nao_branca;Superior;2;C
947;A;Nao_branca;Superior;0;E
948;E;Branca;Medio;1;D
949;B;Nao_branca;Superior;1;E
950;B;Nao declarado;Medio;2;D
952;E;Branca;Medio;1;E
953;F;Branca;Superior;1;D
954;B;Nao_branca;Fundamental;1;E
955;E;Branca;Medio;1;D
956;B;Nao_branca;Superior;1;C
957;D;Nao_branca;Medio;0;E
958;A;Nao_branca;Fundamental;2;D
959;C;Branca;Fundamental;1;E
961;E;Branca;Superior;1;E
962;B;Nao_branca;Medio;1;D
963;D;Nao_branca;Medio;0;E
964;E;Branca;Fundamental;1;E
965;D;Nao_branca;Medio;0;E
966;D;Nao_branca;Medio;0;E
967;E;Branca;Medio;1;E
968;D;Nao_branca;Medio;0;E
970;E;Branca;Medio;1;D
971;A;Nao_branca;Fundamental;1;E
